Loading ArcFace recognition model...
  Input shape: ['None', 3, 112, 112]
  Model loaded!
Total observations to re-embed: 156194
[200/156194] success=200 failed=0 rate=6.9/s ETA=22499s
[400/156194] success=400 failed=0 rate=6.0/s ETA=25843s
[600/156194] success=600 failed=0 rate=6.1/s ETA=25503s
[800/156194] success=800 failed=0 rate=6.6/s ETA=23516s
[1000/156194] success=1000 failed=0 rate=6.4/s ETA=24374s
[1200/156194] success=1200 failed=0 rate=6.3/s ETA=24490s
[1400/156194] success=1400 failed=0 rate=6.3/s ETA=24477s
[1600/156194] success=1600 failed=0 rate=6.3/s ETA=24502s
[1800/156194] success=1800 failed=0 rate=6.4/s ETA=24153s
[2000/156194] success=2000 failed=0 rate=6.4/s ETA=24120s
[2200/156194] success=2200 failed=0 rate=6.6/s ETA=23463s
[2400/156194] success=2400 failed=0 rate=6.7/s ETA=23070s
[2600/156194] success=2600 failed=0 rate=6.8/s ETA=22553s
[2800/156194] success=2800 failed=0 rate=6.8/s ETA=22638s
[3000/156194] success=3000 failed=0 rate=6.9/s ETA=22352s
[3200/156194] success=3200 failed=0 rate=6.9/s ETA=22199s
[3400/156194] success=3400 failed=0 rate=6.8/s ETA=22348s
[3600/156194] success=3600 failed=0 rate=6.9/s ETA=22216s
[3800/156194] success=3800 failed=0 rate=6.9/s ETA=22167s
[4000/156194] success=4000 failed=0 rate=6.9/s ETA=22181s
[4200/156194] success=4200 failed=0 rate=6.8/s ETA=22277s
[4400/156194] success=4400 failed=0 rate=6.8/s ETA=22466s
[4600/156194] success=4600 failed=0 rate=6.6/s ETA=22820s
[4800/156194] success=4800 failed=0 rate=6.6/s ETA=23007s
[5000/156194] success=5000 failed=0 rate=6.5/s ETA=23091s
[5200/156194] success=5200 failed=0 rate=6.5/s ETA=23260s
[5400/156194] success=5400 failed=0 rate=6.5/s ETA=23371s
[5600/156194] success=5600 failed=0 rate=6.4/s ETA=23455s
[5800/156194] success=5800 failed=0 rate=6.4/s ETA=23493s
[6000/156194] success=6000 failed=0 rate=6.4/s ETA=23482s
[6200/156194] success=6200 failed=0 rate=6.4/s ETA=23438s
[6400/156194] success=6400 failed=0 rate=6.4/s ETA=23416s
[6600/156194] success=6600 failed=0 rate=6.4/s ETA=23342s
[6800/156194] success=6800 failed=0 rate=6.4/s ETA=23205s
[7000/156194] success=7000 failed=0 rate=6.5/s ETA=23053s
[7200/156194] success=7200 failed=0 rate=6.5/s ETA=22913s
[7400/156194] success=7400 failed=0 rate=6.5/s ETA=22781s
[7600/156194] success=7600 failed=0 rate=6.6/s ETA=22644s
[7800/156194] success=7800 failed=0 rate=6.6/s ETA=22503s
[8000/156194] success=8000 failed=0 rate=6.6/s ETA=22391s
[8200/156194] success=8200 failed=0 rate=6.6/s ETA=22279s
[8400/156194] success=8400 failed=0 rate=6.7/s ETA=22179s
[8600/156194] success=8600 failed=0 rate=6.7/s ETA=22065s
[8800/156194] success=8800 failed=0 rate=6.7/s ETA=21956s
[9000/156194] success=9000 failed=0 rate=6.7/s ETA=21866s
[9200/156194] success=9200 failed=0 rate=6.8/s ETA=21768s
[9400/156194] success=9400 failed=0 rate=6.7/s ETA=21753s
[9600/156194] success=9600 failed=0 rate=6.7/s ETA=21767s
[9800/156194] success=9800 failed=0 rate=6.7/s ETA=21699s
[10000/156194] success=10000 failed=0 rate=6.8/s ETA=21631s
[10200/156194] success=10200 failed=0 rate=6.8/s ETA=21546s
[10400/156194] success=10400 failed=0 rate=6.8/s ETA=21462s
[10600/156194] success=10600 failed=0 rate=6.8/s ETA=21377s
