PyTorch CUDA: True
GPU: NVIDIA RTX A6000
Loading ArcFace model...
Available ONNX providers: ['TensorrtExecutionProvider', 'CUDAExecutionProvider', 'CPUExecutionProvider']
  Using providers: ['CUDAExecutionProvider', 'CPUExecutionProvider']
Model loaded!
Total observations to re-embed: 156194
[500/156194] success=500 failed=0 rate=149.7/s ETA=1040s
[1000/156194] success=1000 failed=0 rate=161.6/s ETA=960s
[1500/156194] success=1500 failed=0 rate=165.3/s ETA=936s
[2000/156194] success=2000 failed=0 rate=167.1/s ETA=923s
[2500/156194] success=2500 failed=0 rate=166.8/s ETA=922s
[3000/156194] success=3000 failed=0 rate=170.1/s ETA=901s
[3500/156194] success=3500 failed=0 rate=218.0/s ETA=701s
[4000/156194] success=4000 failed=0 rate=216.0/s ETA=705s
[4500/156194] success=4500 failed=0 rate=213.7/s ETA=710s
[5000/156194] success=5000 failed=0 rate=212.1/s ETA=713s
[5500/156194] success=5500 failed=0 rate=211.0/s ETA=714s
[6000/156194] success=6000 failed=0 rate=210.3/s ETA=714s
[6500/156194] success=6500 failed=0 rate=205.7/s ETA=728s
[7000/156194] success=7000 failed=0 rate=204.8/s ETA=729s
[7500/156194] success=7500 failed=0 rate=203.0/s ETA=732s
[8000/156194] success=8000 failed=0 rate=201.3/s ETA=736s
[8500/156194] success=8500 failed=0 rate=200.0/s ETA=739s
[9000/156194] success=9000 failed=0 rate=187.4/s ETA=785s
[9500/156194] success=9500 failed=0 rate=186.9/s ETA=785s
[10000/156194] success=10000 failed=0 rate=186.2/s ETA=785s
[10500/156194] success=10500 failed=0 rate=185.9/s ETA=784s
[11000/156194] success=11000 failed=0 rate=185.7/s ETA=782s
[11500/156194] success=11500 failed=0 rate=186.3/s ETA=777s
[12000/156194] success=12000 failed=0 rate=187.2/s ETA=770s
[12500/156194] success=12500 failed=0 rate=187.3/s ETA=767s
[13000/156194] success=13000 failed=0 rate=186.6/s ETA=767s
[13500/156194] success=13500 failed=0 rate=186.4/s ETA=766s
[14000/156194] success=14000 failed=0 rate=185.3/s ETA=767s
[14500/156194] success=14500 failed=0 rate=182.2/s ETA=778s
[15000/156194] success=15000 failed=0 rate=181.5/s ETA=778s
[15500/156194] success=15500 failed=0 rate=180.9/s ETA=778s
[16000/156194] success=16000 failed=0 rate=180.5/s ETA=777s
[16500/156194] success=16500 failed=0 rate=180.3/s ETA=775s
[17000/156194] success=17000 failed=0 rate=180.3/s ETA=772s
[17500/156194] success=17500 failed=0 rate=180.2/s ETA=770s
[18000/156194] success=18000 failed=0 rate=180.0/s ETA=768s
[18500/156194] success=18500 failed=0 rate=179.2/s ETA=768s
[19000/156194] success=19000 failed=0 rate=178.6/s ETA=768s
[19500/156194] success=19500 failed=0 rate=177.0/s ETA=772s
[20000/156194] success=20000 failed=0 rate=176.9/s ETA=770s
[20500/156194] success=20500 failed=0 rate=176.9/s ETA=767s
[21000/156194] success=21000 failed=0 rate=177.3/s ETA=763s
[21500/156194] success=21500 failed=0 rate=177.4/s ETA=759s
[22000/156194] success=22000 failed=0 rate=177.4/s ETA=757s
[22500/156194] success=22500 failed=0 rate=177.1/s ETA=755s
[23000/156194] success=23000 failed=0 rate=177.0/s ETA=752s
[23500/156194] success=23500 failed=0 rate=177.2/s ETA=749s
[24000/156194] success=24000 failed=0 rate=177.4/s ETA=745s
[24500/156194] success=24500 failed=0 rate=177.4/s ETA=743s
[25000/156194] success=25000 failed=0 rate=177.6/s ETA=739s
[25500/156194] success=25500 failed=0 rate=178.0/s ETA=734s
[26000/156194] success=26000 failed=0 rate=178.2/s ETA=731s
[26500/156194] success=26500 failed=0 rate=178.3/s ETA=727s
[27000/156194] success=27000 failed=0 rate=178.5/s ETA=724s
[27500/156194] success=27500 failed=0 rate=178.4/s ETA=721s
[28000/156194] success=28000 failed=0 rate=178.2/s ETA=720s
[28500/156194] success=28500 failed=0 rate=177.9/s ETA=718s
[29000/156194] success=29000 failed=0 rate=177.2/s ETA=718s
[29500/156194] success=29500 failed=0 rate=176.8/s ETA=717s
[30000/156194] success=30000 failed=0 rate=176.3/s ETA=716s
[30500/156194] success=30500 failed=0 rate=176.4/s ETA=712s
[31000/156194] success=31000 failed=0 rate=176.6/s ETA=709s
[31500/156194] success=31500 failed=0 rate=176.8/s ETA=705s
[32000/156194] success=32000 failed=0 rate=177.2/s ETA=701s
[32500/156194] success=32500 failed=0 rate=177.5/s ETA=697s
[33000/156194] success=33000 failed=0 rate=177.2/s ETA=695s
[33500/156194] success=33500 failed=0 rate=176.8/s ETA=694s
[34000/156194] success=34000 failed=0 rate=176.6/s ETA=692s
[34500/156194] success=34500 failed=0 rate=176.7/s ETA=689s
[35000/156194] success=35000 failed=0 rate=176.8/s ETA=686s
[35500/156194] success=35500 failed=0 rate=176.9/s ETA=682s
[36000/156194] success=36000 failed=0 rate=177.0/s ETA=679s
[36500/156194] success=36500 failed=0 rate=177.0/s ETA=676s
[37000/156194] success=37000 failed=0 rate=177.1/s ETA=673s
[37500/156194] success=37500 failed=0 rate=177.5/s ETA=669s
[38000/156194] success=38000 failed=0 rate=177.9/s ETA=664s
[38500/156194] success=38500 failed=0 rate=178.3/s ETA=660s
[39000/156194] success=39000 failed=0 rate=178.3/s ETA=657s
[39500/156194] success=39500 failed=0 rate=178.3/s ETA=654s
[40000/156194] success=40000 failed=0 rate=178.3/s ETA=652s
[40500/156194] success=40500 failed=0 rate=178.2/s ETA=649s
[41000/156194] success=41000 failed=0 rate=178.0/s ETA=647s
[41500/156194] success=41500 failed=0 rate=177.7/s ETA=646s
[42000/156194] success=42000 failed=0 rate=177.5/s ETA=643s
[42500/156194] success=42500 failed=0 rate=177.1/s ETA=642s
[43000/156194] success=43000 failed=0 rate=177.2/s ETA=639s
[43500/156194] success=43500 failed=0 rate=177.1/s ETA=636s
[44000/156194] success=44000 failed=0 rate=177.1/s ETA=634s
[44500/156194] success=44500 failed=0 rate=177.3/s ETA=630s
[45000/156194] success=45000 failed=0 rate=177.5/s ETA=627s
[45500/156194] success=45500 failed=0 rate=177.6/s ETA=623s
[46000/156194] success=46000 failed=0 rate=177.9/s ETA=619s
[46500/156194] success=46500 failed=0 rate=178.2/s ETA=616s
[47000/156194] success=47000 failed=0 rate=178.3/s ETA=612s
[47500/156194] success=47500 failed=0 rate=178.4/s ETA=609s
